Jaar;Trimester;Sector;Secteur;Sector of activity;Aantal effectieve rijpaden
2007;2007 - Q1;Goederen;Fret;Freight;95198
2007;2007 - Q3;Reizigers;Voyageurs;Passengers;360319
2008;2008 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;31
2008;2008 - Q2;Reizigers;Voyageurs;Passengers;349478
2008;2008 - Q4;Goederen;Fret;Freight;57793
2009;2009 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;24
2009;2009 - Q1;Reizigers;Voyageurs;Passengers;355514
2009;2009 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;32
2009;2009 - Q2;Goederen;Fret;Freight;43049
2010;2010 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;25
2010;2010 - Q1;Reizigers;Voyageurs;Passengers;373424
2010;2010 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;82
2011;2011 - Q1;Goederen;Fret;Freight;46094
2011;2011 - Q1;Reizigers;Voyageurs;Passengers;376171
2011;2011 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;71
2011;2011 - Q2;Reizigers;Voyageurs;Passengers;373821
2011;2011 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;98
2011;2011 - Q4;Goederen;Fret;Freight;39881
2012;2012 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;57
2012;2012 - Q1;Reizigers;Voyageurs;Passengers;378983
2012;2012 - Q2;Goederen;Fret;Freight;38679
2012;2012 - Q3;Goederen;Fret;Freight;36735
2012;2012 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;29
2013;2013 - Q1;Reizigers;Voyageurs;Passengers;366718
2013;2013 - Q2;Goederen;Fret;Freight;35425
2014;2014 - Q1;Goederen;Fret;Freight;34496
2014;2014 - Q2;Reizigers;Voyageurs;Passengers;361182
2015;2015 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;11
2015;2015 - Q1;Reizigers;Voyageurs;Passengers;346073
2015;2015 - Q3;Goederen;Fret;Freight;35535
2015;2015 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;2
2015;2015 - Q4;Goederen;Fret;Freight;35052
2016;2016 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;2
2016;2016 - Q2;Goederen;Fret;Freight;37294
2016;2016 - Q3;Goederen;Fret;Freight;37256
2016;2016 - Q3;Reizigers;Voyageurs;Passengers;350953
2016;2016 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;1
2016;2016 - Q4;Goederen;Fret;Freight;37091
2017;2017 - Q1;Goederen;Fret;Freight;39177
2017;2017 - Q1;Reizigers;Voyageurs;Passengers;357418
2017;2017 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2017;2017 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2017;2017 - Q4;Reizigers;Voyageurs;Passengers;356797
2018;2018 - Q1;Goederen;Fret;Freight;41156
2018;2018 - Q2;Reizigers;Voyageurs;Passengers;358452
2018;2018 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2018;2018 - Q4;Goederen;Fret;Freight;40823
2019;2019 - Q2;Reizigers;Voyageurs;Passengers;369106
2019;2019 - Q3;Goederen;Fret;Freight;40971
2019;2019 - Q3;Reizigers;Voyageurs;Passengers;367601
2019;2019 - Q4;Goederen;Fret;Freight;39583
2019;2019 - Q4;Reizigers;Voyageurs;Passengers;369402
2020;2020 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2020;2020 - Q1;Goederen;Fret;Freight;40393
2020;2020 - Q1;Reizigers;Voyageurs;Passengers;357380
2020;2020 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2020;2020 - Q2;Reizigers;Voyageurs;Passengers;301938
2020;2020 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2020;2020 - Q3;Goederen;Fret;Freight;37904
2020;2020 - Q4;Goederen;Fret;Freight;41261
2020;2020 - Q4;Reizigers;Voyageurs;Passengers;364069
2021;2021 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2021;2021 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2021;2021 - Q3;Reizigers;Voyageurs;Passengers;364717
2022;2022 - Q1;Goederen;Fret;Freight;40098
2022;2022 - Q1;Reizigers;Voyageurs;Passengers;364060
2022;2022 - Q2;Reizigers;Voyageurs;Passengers;366795
2022;2022 - Q3;Goederen;Fret;Freight;37307
2022;2022 - Q3;Reizigers;Voyageurs;Passengers;368280
2007;2007 - Q1;Reizigers;Voyageurs;Passengers;377781
2008;2008 - Q1;Goederen;Fret;Freight;66696
2008;2008 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;27
2008;2008 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;12
2009;2009 - Q2;Reizigers;Voyageurs;Passengers;359309
2009;2009 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;35
2009;2009 - Q3;Goederen;Fret;Freight;40549
2009;2009 - Q3;Reizigers;Voyageurs;Passengers;369119
2009;2009 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;7
2010;2010 - Q2;Reizigers;Voyageurs;Passengers;379961
2010;2010 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;50
2010;2010 - Q4;Goederen;Fret;Freight;42916
2011;2011 - Q2;Goederen;Fret;Freight;45381
2011;2011 - Q3;Goederen;Fret;Freight;43313
2011;2011 - Q3;Reizigers;Voyageurs;Passengers;374315
2012;2012 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;85
2012;2012 - Q3;Reizigers;Voyageurs;Passengers;376409
2013;2013 - Q1;Goederen;Fret;Freight;34597
2013;2013 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;75
2013;2013 - Q3;Goederen;Fret;Freight;34893
2013;2013 - Q4;Goederen;Fret;Freight;33293
2014;2014 - Q1;Reizigers;Voyageurs;Passengers;366167
2014;2014 - Q2;Goederen;Fret;Freight;33426
2014;2014 - Q3;Goederen;Fret;Freight;33723
2014;2014 - Q3;Reizigers;Voyageurs;Passengers;366461
2014;2014 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;30
2014;2014 - Q4;Reizigers;Voyageurs;Passengers;351291
2015;2015 - Q1;Goederen;Fret;Freight;34969
2015;2015 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;27
2015;2015 - Q2;Goederen;Fret;Freight;35205
2015;2015 - Q2;Reizigers;Voyageurs;Passengers;337606
2015;2015 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2016;2016 - Q1;Goederen;Fret;Freight;35994
2016;2016 - Q1;Reizigers;Voyageurs;Passengers;343308
2016;2016 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2017;2017 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2017;2017 - Q2;Goederen;Fret;Freight;50107
2017;2017 - Q2;Reizigers;Voyageurs;Passengers;354591
2017;2017 - Q3;Reizigers;Voyageurs;Passengers;348864
2017;2017 - Q4;Goederen;Fret;Freight;39603
2018;2018 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2018;2018 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2018;2018 - Q2;Goederen;Fret;Freight;39898
2019;2019 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2019;2019 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2019;2019 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2020;2020 - Q2;Goederen;Fret;Freight;34153
2020;2020 - Q3;Reizigers;Voyageurs;Passengers;362835
2020;2020 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2021;2021 - Q1;Goederen;Fret;Freight;41036
2007;2007 - Q2;Goederen;Fret;Freight;70946
2021;2021 - Q2;Goederen;Fret;Freight;41925
2007;2007 - Q2;Reizigers;Voyageurs;Passengers;364592
2021;2021 - Q2;Reizigers;Voyageurs;Passengers;369660
2007;2007 - Q3;Goederen;Fret;Freight;61358
2021;2021 - Q3;Goederen;Fret;Freight;40710
2007;2007 - Q4;Goederen;Fret;Freight;64907
2021;2021 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2007;2007 - Q4;Reizigers;Voyageurs;Passengers;356962
2021;2021 - Q4;Goederen;Fret;Freight;40023
2008;2008 - Q1;Reizigers;Voyageurs;Passengers;353983
2021;2021 - Q4;Reizigers;Voyageurs;Passengers;377735
2008;2008 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;30
2008;2008 - Q2;Goederen;Fret;Freight;66666
2008;2008 - Q3;Goederen;Fret;Freight;65478
2008;2008 - Q3;Reizigers;Voyageurs;Passengers;356593
2008;2008 - Q4;Reizigers;Voyageurs;Passengers;355548
2009;2009 - Q1;Goederen;Fret;Freight;48739
2009;2009 - Q4;Goederen;Fret;Freight;42897
2009;2009 - Q4;Reizigers;Voyageurs;Passengers;365902
2010;2010 - Q1;Goederen;Fret;Freight;43942
2010;2010 - Q2;Goederen;Fret;Freight;47229
2010;2010 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;77
2010;2010 - Q3;Goederen;Fret;Freight;45375
2010;2010 - Q3;Reizigers;Voyageurs;Passengers;380536
2010;2010 - Q4;Reizigers;Voyageurs;Passengers;374145
2011;2011 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;14
2011;2011 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;28
2011;2011 - Q4;Reizigers;Voyageurs;Passengers;373015
2012;2012 - Q1;Goederen;Fret;Freight;41113
2012;2012 - Q2;Reizigers;Voyageurs;Passengers;378623
2012;2012 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;105
2012;2012 - Q4;Goederen;Fret;Freight;35312
2012;2012 - Q4;Reizigers;Voyageurs;Passengers;373567
2013;2013 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;63
2013;2013 - Q2;Reizigers;Voyageurs;Passengers;371973
2013;2013 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;35
2013;2013 - Q3;Reizigers;Voyageurs;Passengers;375966
2013;2013 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;30
2013;2013 - Q4;Reizigers;Voyageurs;Passengers;370084
2014;2014 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;1
2014;2014 - Q2;Toeristische verenigingen;Associations touristiques;Tourism associations;32
2014;2014 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;14
2014;2014 - Q4;Goederen;Fret;Freight;31996
2015;2015 - Q3;Reizigers;Voyageurs;Passengers;345768
2015;2015 - Q4;Reizigers;Voyageurs;Passengers;348077
2016;2016 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;7
2016;2016 - Q2;Reizigers;Voyageurs;Passengers;327826
2016;2016 - Q4;Reizigers;Voyageurs;Passengers;355326
2017;2017 - Q1;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2017;2017 - Q3;Goederen;Fret;Freight;49200
2018;2018 - Q1;Reizigers;Voyageurs;Passengers;365816
2018;2018 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2018;2018 - Q3;Goederen;Fret;Freight;40006
2018;2018 - Q3;Reizigers;Voyageurs;Passengers;358699
2018;2018 - Q4;Reizigers;Voyageurs;Passengers;381623
2019;2019 - Q1;Goederen;Fret;Freight;41299
2019;2019 - Q1;Reizigers;Voyageurs;Passengers;367077
2019;2019 - Q2;Goederen;Fret;Freight;41288
2019;2019 - Q4;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2021;2021 - Q1;Reizigers;Voyageurs;Passengers;366763
2021;2021 - Q3;Toeristische verenigingen;Associations touristiques;Tourism associations;0
2022;2022 - Q2;Goederen;Fret;Freight;38677
