Jaar;Région;Gewest;Region;Type de voie;Type spoor;Track category;Kilometers sporen;Aantal spoortoestellen
2006;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;989;3057
2007;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1560;4331
2008;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;289;543
2008;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;237;870
2008;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3071;2131
2009;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1345;4133
2009;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;3007;1826
2010;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;293;550
2010;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;213;846
2010;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1394;4096
2011;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;214;814
2011;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3148;2164
2011;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1484;4096
2012;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;297;515
2013;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;299;481
2013;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3181;2145
2014;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;168;539
2015;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;168;536
2015;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2983;1648
2016;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;310;457
2016;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;168;533
2016;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3222;2123
2017;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1146;2844
2018;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3247;2091
2019;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;136;449
2020;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;312;465
2020;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;135;436
2020;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3271;2040
2021;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3276;2038
2006;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;237;939
2006;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1560;4382
2007;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;264;520
2007;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;2987;2084
2007;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2989;1834
2008;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;977;2780
2009;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3139;2152
2009;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;835;2711
2010;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;3006;1817
2010;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;827;2646
2011;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;3006;1786
2011;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;858;2609
2012;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;219;793
2012;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1389;4067
2012;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;898;2467
2013;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1300;3361
2014;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;308;470
2014;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;826;1782
2014;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2986;1693
2016;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1275;2986
2016;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2979;1600
2016;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;822;1529
2017;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;167;531
2017;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;648;1534
2018;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1149;2809
2019;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3266;2080
2019;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1146;2701
2019;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;640;1362
2020;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;625;1337
2021;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;313;466
2021;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;587;1345
2006;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;264;526
2006;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;2998;2073
2006;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2993;1847
2007;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;237;899
2007;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;989;2931
2008;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1564;4254
2008;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2968;1836
2009;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;290;548
2009;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;216;848
2010;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3143;2146
2011;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;292;538
2012;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3176;2176
2012;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2995;1779
2013;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;167;551
2013;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;817;1800
2013;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2992;1782
2014;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1285;3201
2014;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3228;2146
2015;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;306;460
2015;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3225;2148
2015;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1281;3081
2015;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;847;1634
2017;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;311;451
2017;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3225;2103
2017;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2979;1568
2018;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;138;471
2018;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;320;471
2018;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;639;1439
2018;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2948;1537
2019;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;319;462
2019;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2949;1515
2020;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1132;2672
2020;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2949;1510
2021;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;128;422
2021;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1080;2601
2021;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2945;1510
